Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Fish fillets, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,73,147,2,3,32,677,388,2071,1532,634,1385,2711,2900,5299,11567,5515,5502,9124,9677,11575,8722,7908,13622,11729,7244,1523,1781,2708,1326,1409,1163,1268,1623.88
China,"Fish for culture incl. ova, fingerlings etc.",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,27,43,30,30,68,63,117,83,0,176,218,180,264,175,80,133,67,55,54,37,51,43,16,29,15,20,15,18,25,30,30,95,187.72
China,"Fish heads, tail, maws etc., smoked, dried, salted, or in brine",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,111,259,262,293,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,127,88,67,34,92,392,952.83
China,"Fish heads, tails, maws, tongues, nei frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6885,27875,43294.43
China,"Fish live, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,3,1,451,43,428,83,184,272,199,202,106,139,401,888,1770,1389,759,785,1249,1948,2955,6109,7707,10088,6516,10928,16178,14986,12587,13813,15510,21642,25257.4
China,"Fish liver oils, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,5,2,190,154,174,466,119,186,104,250,176,189,103,528,134,170,290,42,46,43,141,173,165,440,613,828,594,425,637,442,790,761,684.22
China,"Fish meat, whether or not minced nei, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,11,7,5,54,22.12
China,"Fish meat, whether or not minced, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,480,1330,4774,1017,2216,4579,5823,5254,9063,11679,6542,12419,15944,12459,10414,8180,8454,16654,12953,16706,21120,26617,30590,25899,21811,27166,33311,44649.5
China,"Fish minced nei, in airtight containers prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,141,219,207,198,232,197,193,240,98,123,110,242,310,119,301,316,356,352,338.56
China,"Fish minced nei, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,44,191,90,132,244,191,248,138,122,292,1921,659,215,194,209,302,343,421,467,565,938,3748,1219,1532,1968,3482,6829,9234,10445,12408,14687,19751,24338.47
