Country (Name),Name1,Name,Fishing_area,Production_source,Unit (Name),[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,Oriental river prawn,Oriental river prawn,Asia - Inland waters,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123332,117288,130471,143362,151478,141413,137659,144744,137675,141313,142515,137677,129200,119317,122336,108336,97965.5
China,Siberian prawn,Siberian prawn,Asia - Inland waters,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123332,117288,130471,143362,151477,141412,137659,144744,137674,141312,142514,137676,129199,119317,122335,108335,97965.5
China,Flathead grey mullet,Flathead grey mullet,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71426,67423,79451,87765,98405,92002,101734,96886,112195,143150,94216,80779,61686,74758,90160,91499,116690,112271,113553,118682,126733,103894,102102,90800,83344
China,Abalones nei,Abalones nei,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9810,13515,15460,19956,25324,33010,41884,54842,73192,86909,105646,110288,122573,134741,148539,163169,180267
China,Pacific sandlance,Pacific sandlance,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220766,191962,197247,182370,139866,128684,146525,153599,135337,135042,120219,117038,117597,108984,100690,92308,88478
China,Groupers nei,Groupers nei,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14712,15364,21598,22000,22469,22999,23241,27912,31994,34907,35613,38370,38666,55461,57626,58897,68381,82984,80007,86021,93999,95062,97074,101998,113096,117593,125485,117204,101597,97411
China,Giant river prawn,Giant river prawn,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37363,39912,55502,69565,84891,111282,98383,75376,84965,85541,104005,124520,127788,142121,120780,116184,113582,106730,115393,117492,126591,137360,133266,139609
China,Japanese seabass,Japanese seabass,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68588,70543,76969,90154,100574,95747,100794,102822,117208,120584,122592,108765,117376,137901,156595,166581,180173
China,Portunus swimcrabs nei,Portunus swimcrabs nei,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49219,59840,69162,77156,90717,83803,94682,88361,88558,95424,104884,113575,112807,123154,119777,116251,113810
China,Pompano,Pompano,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,35000,36000,66000,80000,112000,112000,112000,110000,110000,115000,137000,150000,168000
